Drg,data_1,data_2,data_3,data_4,data_5,mean_result
Drg0,0.8442396313364056,0.8411330049261084,0.8464912280701754,0.8360294117647058,0.7916666666666666,0.8319119885528125
Drg2,0.6,0.5792771084337349,0.6676286676286677,0.722985347985348,0.497459062676454,0.6134700373448408
Drg3,0.8011695906432749,0.8947368421052632,0.680952380952381,0.7053571428571429,0.6937618147448015,0.7551955542605727
Drg50,0.6912997903563941,0.6006256517205423,0.7781168265039232,0.5808349146110057,0.6993207941483803,0.6700395954680491
Drg52,0.6958705357142857,0.8473042109405746,0.7651515151515151,0.6984890109890111,0.7573529411764706,0.7528336427943714
Drg66,0.7037037037037037,0.5825,0.8520408163265307,0.8143382352941176,0.6618357487922705,0.7228837008233244
Drg67,0.7952602952602952,0.7006230529595016,0.7487719298245614,0.7186724565756825,0.7743506493506493,0.7475356767941379
Drg68,0.616191904047976,0.8067226890756302,0.6617199391171993,0.7806041335453101,0.7407407407407407,0.7211958813053713
Drg69,0.6398252184769039,0.7053497942386832,0.8039513677811551,0.7345238095238096,0.7526188557614826,0.7272538091564068
Drg84,0.5232108317214701,0.6502463054187192,0.6290322580645161,0.586899275839368,0.6395424836601307,0.6057862309408408
Drg96,0.6118760757314975,0.8488505747126437,0.6568132660418169,0.6917562724014338,0.7816091954022988,0.7181810768579381
Drg97,0.8201992753623188,0.7488059053408598,0.6647727272727272,0.7424640400250156,0.764102564102564,0.7480689024206971
Drg178,0.6696428571428572,0.6121212121212121,0.7004310344827587,0.6534090909090908,0.6574468085106383,0.6586102006333114
Drg179,0.6648983200707339,0.7525577870405457,0.6105651105651105,0.6715522984676883,0.6748235294117647,0.6748794091111686
Drg256,0.8288043478260869,0.7358490566037736,0.7215686274509804,0.8630769230769232,0.7395833333333334,0.7777764576582196
Drg259,0.8321190042501517,0.8693532338308458,0.8289967722811409,0.842751677852349,0.8818778394750127,0.8510197055378999
Drg261,0.7444196428571429,0.6150978564771669,0.7129788450543169,0.7834757834757835,0.6936114732724902,0.7099167202273801
Drg262,0.752467105263158,0.5165945165945166,0.6342383107088989,0.6828780812791473,0.6718403547671841,0.6516036737225809
Drg263,0.722845254606697,0.6934343434343435,0.7306112032665562,0.7337535263171272,0.7242241673297714,0.720973698990899
Drg309,0.6653225806451613,0.8265306122448981,0.8200000000000001,0.7298701298701298,0.81656346749226,0.7716573580504898
